,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
973,C1DE0A667C443362E86D03A0AE948DAA,F1B4B14153E2F18854A4636130CD3939,VTS,1,,12/04/2013 23:11,12/04/2013 23:30,1,1140,4.33,-73.982025,40.768135,-73.939697,40.813576
974,B1E695D75BE8B7BE7210F7EA28908AD2,CC2DC356047ABA3FBCD2661F4F4E8077,VTS,1,,12/04/2013 23:11,12/04/2013 23:32,1,1260,6.34,-73.983284,40.738621,-73.980522,40.682861
975,5E2AA1E5BE5FE08B4FFD43572BCD5B1D,490B044FB17729E2C2F359D0FFDE08FD,VTS,1,,12/04/2013 23:23,12/04/2013 23:28,1,300,0.93,-73.946152,40.807011,-73.959602,40.813637
976,2F2C6B917713751E5C30D7B0C6A7A7EE,5D29E7328D72CC4B2B5538D4FBAD4837,VTS,1,,12/04/2013 23:23,12/04/2013 23:32,1,540,2.73,-73.991119,40.72789,-73.965271,40.758118
977,409A7D183DC5A3AB38338C4A700A8DFC,57D0A3315EDC90B4B00EF3BF676F929C,VTS,1,,12/04/2013 23:24,12/04/2013 23:31,1,420,1.11,-73.979042,40.739941,-73.98938,40.726299
978,A19418FE7024B00F30F3F3DB4F36611C,14FBCDE3B2B286363DA27D39D630ECFE,VTS,1,,12/04/2013 23:24,12/04/2013 23:34,1,600,0.89,-73.985649,40.7631,-73.993408,40.755451
979,4EE30DE9A1484B98778FA784696CE156,92DDA1253D8C39D0562F6CE09C9A198E,VTS,5,,12/04/2013 23:05,12/04/2013 23:38,1,1980,14.08,-73.864693,40.770538,-74.063713,40.724899
980,8C98CE7B82F16BCF3044C210CB2E5C7D,18513D6EE467A293A72ED13DC6A40C50,VTS,1,,12/04/2013 23:25,12/04/2013 23:32,2,420,2.15,-73.987045,40.750866,-73.962303,40.763554
981,E6101A0F85312C49A5B5950E61D284DC,CD5E661BEED9639224B270D91BD7B309,VTS,1,,12/04/2013 23:24,12/04/2013 23:33,1,540,1.7,-74.005157,40.720455,-74.004318,40.737988
982,CEA322EA7E96F56511DCF00B15C0B13A,155BD41FEDF19C0F6E82AFFE77D60DBB,VTS,1,,12/04/2013 23:14,12/04/2013 23:31,2,1020,5.81,-73.966293,40.804943,-74.005386,40.740891
983,A47AD2D8C7273EEF99AE063BE87B46A1,D18181CAC1222B3BFE18FDA6D8B43A2D,VTS,1,,12/04/2013 23:13,12/04/2013 23:33,1,1200,6.25,-73.989998,40.76086,-73.899605,40.725723
984,A8EE7FD7022C9E58BE8F096D347EE0B8,2413316BE9114DD98BAD1D271A3525C1,VTS,1,,12/04/2013 23:05,12/04/2013 23:31,1,1560,4,-73.961449,40.764439,-73.978111,40.74572
985,3CEEF5BC77F6BF04C422E4B82A3306A1,F551B046121CDB7FEE5A7EF646862C33,VTS,1,,12/04/2013 23:21,12/04/2013 23:35,1,840,3.36,-73.976669,40.765907,-74.006577,40.739746
986,1D3E10899AD1F164776E4D3AED18C770,F0DD54229A26269E9A1F5335735C92B5,VTS,1,,12/04/2013 23:27,12/04/2013 23:34,1,420,0.96,-73.983589,40.742115,-73.99086,40.751202
987,DFDC1732ED3D7B5407097481E80E8EFA,C6AB0C9188E1A18FAA6453FAFA01C216,VTS,1,,12/04/2013 23:31,12/04/2013 23:37,1,360,1.31,-74.001266,40.726013,-74.006462,40.739033
988,385B40B09DF15C8D150AF46E1B4A3AB4,1B1B09F687E9419E47E5EF4518C53E75,VTS,1,,12/04/2013 23:25,12/04/2013 23:35,1,600,2.81,-74.008469,40.720074,-73.998611,40.755314
989,81EF9B6A5F9B53B3052BCC640CC6B944,A692C1C00519EBD1158DCBE3CEB5F416,VTS,1,,12/04/2013 23:29,12/04/2013 23:33,2,240,1.74,-73.958946,40.710491,-73.987549,40.719807
990,4B20C5B8EBF5D6A4A14C928DF5AD99E9,3A63A7A7F9DD942BD29C001555FC5B27,VTS,1,,12/04/2013 23:27,12/04/2013 23:36,6,540,1.05,-73.98243,40.774315,-73.975548,40.787949
991,23E5F1FDC96168E865BF7B4427C0163B,943425CFD49218C7E5F8B24307DDFA60,VTS,1,,12/04/2013 23:19,12/04/2013 23:36,1,1020,2.45,-73.985191,40.759312,-73.999382,40.742409
